Time,ECG
12405,4.4493
12406,3.3709
12407,10.111
12408,13.076
12409,11.189
12410,19.547
12411,13.885
12412,11.998
12413,12.268
12414,12.268
12415,12.268
12416,12.268
12417,11.998
12418,12.268
12419,4.1797
12420,4.1797
12421,4.4493
12422,11.998
12423,4.1797
12424,12.807
12425,11.998
12426,11.998
12427,12.537
12428,10.65
12429,3.3709
12430,4.1797
12431,4.1797
12432,3.3709
12433,6.6061
12434,12.807
12435,12.537
12436,9.0324
12437,2.8317
12438,4.9885
12452,3.3709
12466,4.4493
12467,4.1797
12468,2.5621
12470,4.9885
12471,4.1797
12472,2.5621
12491,3.1013
12526,40.305
12527,97.459
12528,160.81
12529,222.28
12530,277.55
12531,342.25
12532,401.02
12533,465.72
12534,518.3
12535,567.63
12536,603.49
12537,628.56
12538,645.54
12539,654.71
12540,647.16
12541,630.72
12542,605.1
12543,588.12
12544,546.6
12545,513.17
12546,480.01
12547,464.11
12548,456.29
12549,454.67
12550,436.88
12551,419.35
12552,391.86
12553,360.04
12554,333.35
12555,302.35
12556,272.7
12557,235.22
12558,206.11
12559,168.63
12560,142.48
12561,111.21
12562,87.484
12563,62.682
12564,37.07
12565,16.311
12566,0.94458
13296,16.581
13297,66.186
13298,124.15
13299,182.38
13300,247.62
13301,305.32
13302,372.45
13303,434.99
13304,496.19
13305,566.28
13306,610.77
13307,648.51
13308,681.4
13309,707.82
13310,724.0
13311,730.2
13312,719.68
13313,704.58
13314,674.66
13315,635.3
13316,598.36
13317,560.08
13318,524.5
13319,515.6
13320,518.3
13321,506.16
13322,489.18
13323,465.72
13324,442.81
13325,397.25
13326,354.92
13327,298.04
13328,261.64
13329,213.92
13330,178.88
13331,138.17
13332,104.47
13333,71.039
13334,46.236
13335,13.346
13644,2.2925
13645,3.9101
13653,1.2142
13654,7.4148
13655,7.1452
13661,6.0669
13667,6.3365
13668,6.6061
13669,6.6061
13670,6.3365
13699,5.5277
13761,6.6061
13764,1.4838
13765,5.7973
13772,2.8317
13773,7.954
13774,6.8756
13775,6.8756
13776,7.954
13777,2.023
13784,5.5277
13785,7.4148
13786,7.1452
13787,6.8756
13788,7.954
13790,6.8756
13793,7.1452
13796,7.4148
13797,6.8756
13798,7.1452
13799,7.1452
13800,6.8756
13801,8.4932
13802,14.424
13803,6.0669
13804,7.1452
13805,7.4148
13806,4.9885
13808,1.2142
13809,10.65
13810,15.772
13811,14.963
13812,14.963
13813,14.963
13814,14.963
13815,14.694
13816,15.772
13817,10.38
13818,6.6061
13819,6.0669
13820,13.076
13821,9.8412
13822,6.8756
13823,1.2142
13827,5.5277
13828,7.1452
13829,6.6061
13830,6.8756
13831,6.3365
13832,14.424
13833,14.963
13834,14.963
13835,6.8756
13836,14.694
13837,6.6061
13838,6.6061
13839,7.4148
13840,14.694
13841,6.0669
13842,6.8756
13843,6.6061
13844,7.1452
13845,4.7189
13847,7.954
13848,5.7973
13849,9.5716
13850,13.076
13851,4.7189
13852,10.65
13853,11.998
13854,5.7973
13855,5.7973
13856,11.189
13857,11.459
13858,4.7189
13859,11.459
13860,15.233
13861,14.155
13862,15.503
13863,9.0324
13864,5.7973
13865,6.8756
13866,5.7973
13867,12.807
13868,15.503
13869,7.6844
13870,6.3365
13871,5.7973
13872,13.885
13873,14.155
13874,21.973
13875,22.782
13876,14.424
13877,14.424
13878,14.424
13879,14.424
13880,14.424
13881,14.424
13882,14.424
13883,13.346
13884,5.5277
13885,6.3365
13886,6.0669
13887,6.3365
13888,6.3365
13889,6.0669
13890,6.3365
13891,5.7973
13892,8.7628
13893,16.042
13894,9.8412
13895,9.5716
13896,11.728
13897,4.7189
13898,7.4148
13899,1.2142
13900,0.94458
13901,11.728
13902,14.694
13903,13.885
13904,14.155
13905,13.885
13906,14.963
13907,7.954
13908,5.5277
13909,5.7973
13910,6.6061
13914,5.2581
13915,6.0669
13916,6.3365
13918,6.0669
13920,6.0669
13922,6.6061
13923,5.2581
13943,3.1013
13944,6.6061
13945,6.8756
13954,5.2581
13955,6.3365
13956,6.0669
13957,6.0669
13958,6.3365
13960,6.0669
13961,6.0669
13962,5.7973
13964,6.8756
13965,15.233
13966,22.512
13967,23.051
13968,30.87
13969,30.061
13970,30.061
13971,30.6
13972,27.904
13973,21.703
13974,19.007
13975,16.311
13976,20.086
13977,12.807
13978,14.155
13979,13.615
13980,13.885
13981,13.885
13982,13.885
13983,13.615
13984,14.424
13985,9.5716
13993,3.9101
13994,6.8756
13996,4.9885
14003,5.7973
14004,5.5277
14005,5.5277
14006,6.0669
14007,14.424
14008,12.537
14009,4.9885
14010,5.7973
14011,5.5277
14012,5.5277
14013,5.7973
14014,5.2581
14015,7.6844
14016,14.963
14017,10.92
14018,4.1797
14019,9.0324
14020,14.155
14021,14.424
14022,8.7628
14023,9.5716
14024,10.111
14025,5.2581
14026,0.94458
14029,3.9101
14031,2.5621
14032,5.7973
14033,6.0669
14037,4.4493
14038,5.7973
14039,5.2581
14040,6.0669
14042,5.2581
14043,5.5277
14044,5.5277
14045,13.346
14046,5.2581
14047,5.2581
14048,6.0669
14049,13.076
14050,4.9885
14051,4.4493
14080,26.826
14081,82.632
14082,140.32
14083,205.57
14084,271.62
14085,329.04
14086,394.55
14087,460.06
14088,525.3
14089,581.65
14090,629.91
14091,669.27
14092,701.08
14093,732.89
14094,753.65
14095,759.04
14096,754.73
14097,733.97
14098,708.36
14099,681.4
14100,643.93
14101,603.22
14102,575.99
14103,563.32
14104,557.66
14105,561.16
14106,543.37
14107,512.36
14108,480.55
14109,432.29
14110,382.15
14111,332.55
14112,281.86
14113,237.65
14114,196.94
14115,154.88
14116,118.76
14117,93.685
14118,61.603
14119,35.453
14120,9.5716
14569,4.9885
14570,2.5621
14573,5.7973
14574,1.4838
14577,5.7973
14578,7.4148
14579,7.1452
14580,6.8756
14581,7.6844
14583,6.8756
14601,3.1013
14602,7.1452
14603,10.111
14604,16.581
14605,12.268
14606,1.2142
14607,3.9101
14608,2.5621
14609,3.6405
14610,3.1013
14629,6.8756
14631,7.1452
14652,2.8317
14653,13.885
14654,9.8412
14655,7.4148
14657,4.4493
14658,8.4932
14665,6.6061
14666,7.1452
14667,7.1452
14668,7.1452
14669,7.1452
14673,8.2236
14674,15.503
14675,14.694
14676,15.772
14677,12.268
14684,2.5621
14685,4.1797
14686,1.2142
14687,7.954
14688,7.6844
14689,2.023
14690,3.3709
14691,2.5621
14692,3.3709
14693,3.1013
14705,7.1452
14707,6.3365
14708,7.4148
14716,7.6844
14717,6.8756
14718,6.8756
14719,7.4148
14720,5.5277
14722,1.7534
14723,4.9885
14725,7.954
14726,7.4148
14727,3.9101
14740,4.9885
14741,7.1452
14742,7.6844
14748,6.8756
14750,6.8756
14772,2.8317
14773,7.954
14774,6.8756
14775,7.1452
14776,7.1452
14777,6.8756
14778,7.954
14779,1.4838
14830,6.6061
14831,7.6844
14832,7.6844
14833,7.1452
14834,15.503
14835,7.4148
14836,7.4148
14843,0.94458
14844,6.8756
14850,2.2925
14851,7.4148
14852,10.92
14853,13.885
14854,2.8317
14887,0.94458
14949,52.167
14950,103.66
14951,159.2
14952,216.35
14953,280.78
14954,346.83
14955,411.54
14956,485.4
14957,544.18
14958,593.24
14959,642.31
14960,674.93
14961,698.92
14962,722.65
14963,729.66
14964,728.31
14965,718.6
14966,699.19
14967,666.03
14968,639.07
14969,596.48
14970,566.28
14971,554.42
14972,552.8
14973,543.37
14974,532.58
14975,513.98
14976,478.93
14977,430.41
14978,387.0
14979,335.78
14980,286.71
14981,235.22
14982,193.7
14983,163.24
14984,124.15
14985,87.484
14986,53.246
14987,31.948
14988,10.111
15519,2.5621
15520,3.9101
15535,6.0669
15549,7.1452
15550,6.6061
15551,6.6061
15552,7.1452
15553,5.2581
15583,6.6061
15584,6.8756
15585,6.8756
15587,6.8756
15589,7.4148
15590,6.8756
15591,5.7973
15604,2.2925
15605,7.954
15606,5.2581
15607,12.807
15608,6.6061
15625,6.8756
15628,6.8756
15629,6.6061
15630,7.4148
15631,14.694
15632,6.3365
15633,6.0669
15642,2.2925
15643,4.7189
15730,4.1797
15731,3.6405
15732,2.8317
15733,8.4932
15734,7.4148
15735,7.6844
15736,7.6844
15737,7.4148
15738,8.4932
15739,1.7534
15748,7.4148
15754,7.954
15755,6.8756
15772,1.2142
15809,1.4838
15853,20.895
15854,67.804
15855,123.61
15856,174.29
15857,238.19
15858,299.12
15859,360.31
15860,426.36
15861,493.49
15862,548.22
15863,595.94
15864,641.5
15865,668.19
15866,699.19
15867,719.14
15868,729.93
